127.0.0.1 - - [23/Feb/2023:17:44:48 +0630] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:45:34 +0630] "GET /shop/fruit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:45:35 +0630] "GET /shop/login HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:45:35 +0630] "GET /shop/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:45:35 +0630] "GET /shop/assets/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:45:40 +0630] "GET /shop/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:45:41 +0630] "GET /shop/main HTTP/1.1" 200 16001
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:45:41 +0630] "GET /shop/assets/apple.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:45:41 +0630] "GET /shop/assets/pineapple.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:45:41 +0630] "GET /shop/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:45:41 +0630] "GET /shop/assets/strawberry.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:45:41 +0630] "GET /shop/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:45:41 +0630] "GET /shop/assets/kiwi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:45:41 +0630] "GET /shop/assets/hero-bg.jpg HTTP/1.1" 304 -
