127.0.0.1 - - [22/Mar/2023:13:21:53 +0630] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:22:10 +0630] "GET /shop HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:22:10 +0630] "GET /shop/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:22:11 +0630] "GET /shop/main HTTP/1.1" 200 16078
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:22:11 +0630] "GET /shop/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:22:11 +0630] "GET /shop/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:22:11 +0630] "GET /shop/assets/apple.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:22:11 +0630] "GET /shop/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:22:11 +0630] "GET /shop/assets/strawberry.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:22:11 +0630] "GET /shop/assets/kiwi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:22:11 +0630] "GET /shop/assets/pineapple.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:22:12 +0630] "GET /shop/assets/hero-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:22:12 +0630] "GET /shop/assets/newfruit.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:22:12 +0630] "GET /assets/newfruit.jpg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:22:14 +0630] "GET /shop/assets/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:22:25 +0630] "GET /shop/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:22:25 +0630] "GET /shop/login HTTP/1.1" 200 4180
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:22:36 +0630] "POST /shop/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:22:36 +0630] "GET /shop/fruit HTTP/1.1" 200 16972
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:22:36 +0630] "GET /assets/newfruit.jpg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:22:43 +0630] "GET /shop/fruit?mode=BUYVIEW&id=6&qty=-20 HTTP/1.1" 200 4798
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:22:53 +0630] "GET /shop/fruit?mode=BUYVIEW&id=9&qty=56 HTTP/1.1" 200 4801
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:22:57 +0630] "POST /shop/fruit HTTP/1.1" 200 16972
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:22:57 +0630] "GET /assets/newfruit.jpg HTTP/1.1" 404 775
