127.0.0.1 - - [29/Mar/2023:23:45:46 +0630] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [29/Mar/2023:23:46:03 +0630] "GET /shop/fruit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:23:46:03 +0630] "GET /shop/login HTTP/1.1" 200 4180
0:0:0:0:0:0:0:1 - - [29/Mar/2023:23:46:03 +0630] "GET /shop/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:23:46:03 +0630] "GET /shop/assets/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:23:46:17 +0630] "POST /shop/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:23:46:17 +0630] "GET /shop/fruit HTTP/1.1" 200 16972
0:0:0:0:0:0:0:1 - - [29/Mar/2023:23:46:17 +0630] "GET /shop/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:23:46:17 +0630] "GET /shop/assets/apple.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:23:46:17 +0630] "GET /shop/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:23:46:17 +0630] "GET /shop/assets/pineapple.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:23:46:17 +0630] "GET /shop/assets/kiwi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:23:46:17 +0630] "GET /shop/assets/strawberry.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:23:46:17 +0630] "GET /shop/assets/hero-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:23:46:17 +0630] "GET /shop/assets/newfruit.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:23:46:17 +0630] "GET /assets/newfruit.jpg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [29/Mar/2023:23:46:31 +0630] "GET /shop/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:23:46:31 +0630] "GET /shop/login HTTP/1.1" 200 4180
