127.0.0.1 - - [02/Feb/2023:17:06:06 +0630] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [02/Feb/2023:17:06:20 +0630] "GET /exam/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:17:06:22 +0630] "GET /exam/login HTTP/1.1" 200 2128
0:0:0:0:0:0:0:1 - - [02/Feb/2023:17:06:22 +0630] "GET /exam/css/styles.css HTTP/1.1" 200 206091
0:0:0:0:0:0:0:1 - - [02/Feb/2023:17:06:22 +0630] "GET /exam/css/custom.css HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [02/Feb/2023:17:06:22 +0630] "GET /exam/js/scripts.js HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [02/Feb/2023:17:06:22 +0630] "GET /exam/assets/school.ico HTTP/1.1" 200 9662
0:0:0:0:0:0:0:1 - - [02/Feb/2023:17:06:35 +0630] "GET /exam/user HTTP/1.1" 200 2801
0:0:0:0:0:0:0:1 - - [02/Feb/2023:17:06:55 +0630] "POST /exam/user HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [02/Feb/2023:17:06:55 +0630] "GET /favicon.ico HTTP/1.1" 404 763
